id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references	langlinks	univ_age	page_age	pp_top	1y_views	2y_views
1503	Rhodes Univ	1875	853	174	48	1421	899	710.0	Rhodes_University	1904.0	1164730	0	Rhodes_University	0	0	20210626181441	20210623122351.0	1025754607	27214	wikitext	749.0	2004-11-13	294.0	16617.0	17.0	15	117.0	17	0.0928	71409	151626
1506	Univ Johannesburg	4590	1797	544	170	3815	2006	710.0	University_of_Johannesburg	2005.0	1158737	0	University_of_Johannesburg	0	0	20210628141042	20210628141537.0	1024219809	63501	wikitext	644.0	2004-11-11	270.0	16673.0	63.0	18	16.0	17	0.11851851851851852	80251	181011
1507	North-West Univ	3317	1465	392	111	2715	1614	710.0	North-West_University	2004.0	26762013	0	North-West_University	0	0	20210628141632	20210628142104.0	1030140851	12370	wikitext	214.0	2005-09-07	85.0	14910.0	23.0	10	17.0	16	0.11817907747965029	57745	123872
1515	Tehran Univ Med Sci	10435	4806	865	307	9181	3002	364.0	Tehran_University_of_Medical_Sciences	1934.0	3977331	0	Tehran_University_of_Medical_Sciences	0	0	20210626182545	20210626062221.0	1030017575	18905	wikitext	386.0	2006-02-06	132.0	3495.0	8.0	7	87.0	15	0.0828941063727839	17684	35448
1516	Univ Tehran	13250	7223	1176	586	10208	2752	364.0	University_of_Tehran	1934.0	159999	0	University_of_Tehran	0	0	20210630140535	20210630141217.0	1031235977	45720	wikitext	1275.0	2002-12-20	564.0	13618.0	19.0	43	87.0	19	0.08875471698113208	64005	131953
1517	Sharif Univ Technol	5953	3676	526	292	3848	1292	364.0	Sharif_University_of_Technology	1966.0	453155	0	Sharif_University_of_Technology	0	0	20210626181002	20210623130720.0	1029106161	27337	wikitext	1106.0	2004-02-03	517.0	9877.0	16.0	20	55.0	17	0.0883588106836889	45087	96963
1518	Shiraz Univ	4580	2941	395	219	2914	945	364.0	Shiraz_University	1946.0	1398287	0	Shiraz_University	0	0	20210623122458	20210623131734.0	1012748062	45464	wikitext	588.0	2005-01-15	226.0	4120.0	17.0	17	75.0	16	0.08624454148471616	20267	39769
1519	Tarbiat Modares Univ	7169	4002	593	297	5309	1388	364.0	Tarbiat_Modares_University	1982.0	2532716	0	Tarbiat_Modares_University	0	0	20210626182103	20210625171611.0	1022812590	17220	wikitext	258.0	2005-08-25	153.0	1997.0	2.0	6	39.0	16	0.08271725484725903	11006	22572
1520	Amirkabir Univ Technol	6996	4557	696	408	4412	940	364.0	Amirkabir_University_of_Technology	1958.0	852331	0	Amirkabir_University_of_Technology	0	0	20210626181234	20210624122639.0	1029166292	21673	wikitext	901.0	2004-07-23	336.0	3624.0	12.0	11	63.0	17	0.09948542024013722	21704	48568
1521	Shiraz Univ Med Sci	3147	1798	248	97	2240	982	364.0	Shiraz_University_of_Medical_Sciences	1949.0	3984077	0	Shiraz_University_of_Medical_Sciences	0	0	20210626182546	20210626080924.0	949766888	12337	wikitext	141.0	2006-02-06	61.0	1003.0		10	72.0	15	0.07880521131236098	6163	12173
